sponsor_id,sponsor_name,createdAt
sp_001,Sanofi,2023-06-05
sp_002,Moderna,2021-08-01
sp_003,AstraZeneca,2022-05-02
sp_004,Pfizer,2022-03-06
sp_005,Novartis,2023-09-20
sp_006,Roche,2023-07-16
sp_007,Johnson & Johnson,2024-03-08
sp_008,Merck,2021-10-08
sp_009,GSK,2022-10-10
sp_010,Bristol-Myers Squibb,2021-08-06
sp_011,AbbVie,2022-03-01
sp_012,Eli Lilly,2023-01-09
sp_013,Bayer,2021-08-03
sp_014,Amgen,2022-02-07
sp_015,Gilead Sciences,2023-06-17
sp_016,Boehringer Ingelheim,2023-02-22
sp_017,Takeda,2022-03-03
sp_018,Novo Nordisk,2023-04-11
sp_099,TEST,2024-01-01
