trial_id,sponsor_id,trialName,indication,phase,status,start_date,end_date
tr_0001,sp_001,According-214,Non-Small Cell Lung Cancer,Phase III,active,2025-12-08,2028-03-21
tr_0002,sp_001,Collection-242,Rheumatoid Arthritis,Phase I,suspended,2025-10-13,2026-11-25
tr_0003,sp_001,Grow-130,Type 2 Diabetes,Phase II,active,2025-08-08,2026-03-08
tr_0004,sp_001,Dinner-716,Non-Small Cell Lung Cancer,Phase II,suspended,2024-05-05,2026-04-02
tr_0005,sp_001,Great-559,NASH,Phase III,recruiting,2026-05-19,2027-06-28
tr_0006,sp_001,Husband-925,Major Depressive Disorder,Phase IV,completed,2023-10-25,2026-06-08
tr_0007,sp_001,Throw-259,Alzheimer's Disease,Phase III,recruiting,2023-10-19,2025-01-25
tr_0008,sp_001,Everything-489,Rheumatoid Arthritis,Phase III,completed,2024-07-16,2025-04-16
tr_0009,sp_001,Show-370,Breast Cancer,Phase IV,recruiting,2025-12-05,2028-02-11
tr_0010,sp_001,Capital-180,Migraine,Phase III,completed,2024-11-20,2026-06-10
tr_0011,sp_002,Human-296,Type 2 Diabetes,Phase I,active,2026-06-05,2028-07-15
tr_0012,sp_002,Finally-396,Type 2 Diabetes,Phase II,recruiting,2023-09-30,2026-05-28
tr_0013,sp_002,Present-384,Heart Failure,Phase III,active,2025-12-30,2027-07-22
tr_0014,sp_002,High-463,Alzheimer's Disease,Phase III,recruiting,2026-03-01,2027-09-11
tr_0015,sp_002,Sea-750,Major Depressive Disorder,Phase II,active,2025-03-29,2027-06-10
tr_0016,sp_002,Recently-488,Crohn's Disease,Phase II,completed,2023-09-20,2025-07-04
tr_0017,sp_002,Figure-886,Breast Cancer,Phase II,recruiting,2024-03-11,2027-01-18
tr_0018,sp_002,Top-423,Prostate Cancer,Phase III,recruiting,2026-06-18,2029-03-18
tr_0019,sp_002,Blood-680,Idiopathic Pulmonary Fibrosis,Phase II,suspended,2024-03-16,2025-04-16
tr_0020,sp_002,Long-758,Heart Failure,Phase II,completed,2024-08-25,2026-04-02
tr_0021,sp_002,His-352,Migraine,Phase III,suspended,2025-06-01,2026-04-19
tr_0022,sp_002,Hear-508,Hepatitis B,Phase II,active,2023-12-31,2026-02-15
tr_0023,sp_002,Example-605,Type 2 Diabetes,Phase I,recruiting,2024-02-20,2026-01-21
tr_0024,sp_003,Result-742,Major Depressive Disorder,Phase IV,recruiting,2025-08-12,2026-07-14
tr_0025,sp_003,Politics-490,Psoriasis,Phase IV,completed,2025-06-14,2027-01-09
tr_0026,sp_003,None-981,Non-Small Cell Lung Cancer,Phase I,completed,2025-05-31,2027-06-16
tr_0027,sp_003,Common-756,Idiopathic Pulmonary Fibrosis,Phase I,completed,2025-09-11,2028-05-05
tr_0028,sp_003,Expect-261,Heart Failure,Phase I,completed,2024-11-23,2026-08-10
tr_0029,sp_003,Push-880,Major Depressive Disorder,Phase I,completed,2026-06-23,2028-05-15
tr_0030,sp_003,Discuss-754,Obesity,Phase II,active,2025-07-28,2028-06-03
tr_0031,sp_003,Threat-880,Major Depressive Disorder,Phase I,completed,2025-07-24,2027-02-06
tr_0032,sp_003,Arrive-119,Rheumatoid Arthritis,Phase III,completed,2025-10-24,2027-09-04
tr_0033,sp_003,Almost-159,Atopic Dermatitis,Phase I,recruiting,2024-03-12,2025-05-11
